OrchardDesc,PIN,Manager,OrchardGroup,Planting code,Variety,Root stock,Growing system,Row spacing,Tree spacing,# trees,Hectares,Growing method,Mgmt. area,Prod. site,Clearance,Tags (season)
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN A1,Rockit,M.9,Spindle,3,1.4,4104,1.78,Conventional,A,A,,
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN A2,Rockit,M.9,Spindle,3,1.4,6252,2.71,Conventional,B,B,,
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN B1,Rockit,M.9,Spindle,3,1.4,4046,1.76,Conventional,C,C,,
IND - Cypress,R2710,,Independent Sector,CYP-A1 2,Rockit,CG202,,1.5,3.5,0,0,Conventional,,,,
IND - Cypress,R2710,,Independent Sector,CYP-A1 3,Rockit,CG202,,3.5,1.5,0,0,Conventional,,,,
IND - Cypress,R2710,,Independent Sector,CYP-A2,Rockit,M116,,3.5,2,0,0,Conventional,,,,
IND - Cypress,R2710,,Independent Sector,CYP-A3,Rockit,M9,,3.5,1.5,0,0,Conventional,,,,
Dartmoor,R2150,,Independent Sector,DTM A,Rockit,M.9,Spindle,3,1.4,4472,1.87,Conventional,B,B,,
Dartmoor,R2150,,Independent Sector,DTM B,Rockit,M.9,Spindle,3,1.4,4501,1.89,Conventional,B,B,,
Dartmoor,R2150,,Independent Sector,DTM C,Rockit,M.9,Spindle,3,1.4,4312,1.8,Conventional,A,A,,
Dartmoor,R2150,,Independent Sector,DTM D,Rockit,M.9,Spindle,3,1.4,1233,0.51,Conventional,A,A,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU A1,Rockit,M.9,Spindle,3,1.4,4473,1.87866,Conventional,A,A,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU A2,Rockit,M.9,Spindle,3,1.4,6078,2.55192,Conventional,C,C,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU B1,Rockit,M.9,Spindle,3,1.4,3992,1.67664,Conventional,B,B,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU B2,Rockit,M.9,Spindle,3,1.4,5056,2.12352,Conventional,D,D,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME A,Rockit,CG202,FOPS,2.2,3,4722,3.11652,Conventional,A,A,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME B,Rockit,CG202,FOPS,2.2,3,4644,3.06504,Conventional,B,B,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME C,Rockit,M.9,Spindle,3.5,1.4,6431,3.151,Conventional,C,C,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME D1,Rockit,M.9,FOPS,2.2,2.4,1262,0.666336,Conventional,D,D,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME D2,Rockit,M.9,Spindle,3,1.4,1427,0.59934,Conventional,D,D,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME D3,Rockit,CG202,FOPS,2.2,3,3517,2.32122,Conventional,D,D,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME E1-7,Rockit,M.9/M.26,Spindle,3.5,1.5,3850,2.02125,Conventional,E,E,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME E8,Rockit,M.793,Spindle,5,1.4,464,0.3248,Conventional,E,E,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME F1,Rockit,M.9,Spindle,3.5,1.4,995,0.48755,Conventional,F,F,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME F2,Rockit,M.9,FOPS,2.2,2.4,3609,1.905552,Conventional,F,F,,
IND - Huawhenua - Home,R1751,,Independent Sector,HUA-B2.2,Rockit,MM102,,4.1,1.8,0,0,Conventional,,,,
Lawn Road,R2917,Milap Sondh,Hastings Sector,LAWN A1,Rockit,M.9,2D,3,1.4,0,0,Conventional,,,,
Lobb,R2899,Todd Blackman,Havelock Sector,LOBB A,Rockit,CG202,Spindle,3.5,1.4,5665,2.77585,Conventional,A,A,,
Lobb,R2899,Todd Blackman,Havelock Sector,LOBB B,Rockit,CG202,Spindle,3.5,1.4,5520,2.7048,Conventional,B,B,,
IND- Longacre Orchard (RLA),R2219,,Independent Sector,LONGACR A2,Rockit,CG202,Spindle,3.5,1.4,4380,2.2995,Conventional,A,A,,
IND- Longacre Orchard (RLA),R2219,,Independent Sector,LONGACR C1,Rockit,M.9,2D,3,1.6,9617,4.36,Conventional,B,B,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY B3,Rockit,M.9,Spindle,3,1.4,899,0.37758,Conventional,5A,D,(excluded),Non-production
Mana 1,R2926,Andrew Culver,Maraekakaho Sector,MANA1 - A1,Rockit,M.9,2D,3,1.4,7916,3.26,Conventional,1,A,,Hedging trial
Mana 1,R2926,Andrew Culver,Maraekakaho Sector,MANA1 - A2,Rockit,M.9,2D,3,1.4,6389,2.676,Conventional,2,A,,Hedging trial
Mana 1,R2926,Andrew Culver,Maraekakaho Sector,MANA1 - B1,Rockit,M.9,2D,3,1.4,7389,3.068,Conventional,4,B,,Hedging trial
Mana 1,R2926,Andrew Culver,Maraekakaho Sector,MANA1 - B2,Rockit,M.9,2D,3,1.4,7377,3.07,Conventional,3,B,,Hedging trial
Mana 2,R2927,Andrew Culver,Maraekakaho Sector,MANA2 - A1,Rockit,M.9,2D,3,1.4,6625,2.769,Conventional,1,A,,
Mana 2,R2927,Andrew Culver,Maraekakaho Sector,MANA2 - A2,Rockit,M.9,2D,3,1.4,6138,2.569,Conventional,2,A,,
Mana 2,R2927,Andrew Culver,Maraekakaho Sector,MANA2 - B1,Rockit,M.9,2D,3,1.4,5837,2.457,Conventional,4,B,,
Mana 2,R2927,Andrew Culver,Maraekakaho Sector,MANA2 - B2,Rockit,M.9,2D,3,1.4,6524,2.783,Conventional,3,B,,
Manahi,R2880,Todd Blackman,Havelock Sector,MANAHI A1,Rockit,M.9,Spindle,3,1.4,5076,2.13192,Conventional,A,A,,
Manahi,R2880,Todd Blackman,Havelock Sector,MANAHI A2,Rockit,M.9,Spindle,3,1.4,5275,2.2155,Conventional,B,B,,
Manahi,R2880,Todd Blackman,Havelock Sector,MANAHI B1,Rockit,M.9,Spindle,3,1.4,5610,2.3562,Conventional,C,C,,
Manahi,R2880,Todd Blackman,Havelock Sector,MANAHI B2,Rockit,M.9,Spindle,3,1.4,2587,1.08654,Conventional,D,D,,
Manahi,R2880,Todd Blackman,Havelock Sector,MANAHI C,Rockit,M.9,Spindle,3,1.4,6571,2.75982,Conventional,E,E,,
Manahi,R2880,Todd Blackman,Havelock Sector,MANAHI D,Rockit,M.9,Spindle,3,1.4,6993,2.93706,Conventional,F,F,,
Manahi,R2880,Todd Blackman,Havelock Sector,MANAHI E,Rockit,M.9,Spindle,3,1.4,5050,2.121,Conventional,G,G,,
Manahi,R2880,Todd Blackman,Havelock Sector,MANAHI F1,Rockit,M.9,Spindle,3,1.4,5715,2.4003,Conventional,H,H,,
Manahi,R2880,Todd Blackman,Havelock Sector,MANAHI F2,Rockit,M.9,Spindle,3,1.4,5162,2.16804,Conventional,I,I,,
IND - Manzana,R2879,,Independent Sector,MANZ A1,Rockit,M.9,Spindle,3,1.4,5909,2.48,Conventional,A1,A,,
IND - Manzana,R2879,,Independent Sector,MANZ A2,Rockit,M.9,Spindle,3,1.4,4673,1.96,Conventional,A2,A,,
IND - Manzana,R2879,,Independent Sector,MANZ A3,Rockit,M.9,Spindle,3,1.4,3013,1.27,Conventional,A3,A,,
IND - Manzana,R2879,,Independent Sector,MANZ B1,Rockit,M.9,Spindle,3,1.4,3777,1.57,Conventional,B1,B,,
IND - Manzana,R2879,,Independent Sector,MANZ B2,Rockit,M.9/M.26,Spindle,3,1.4,5222,2.19,Conventional,B2,B,,
IND - Manzana,R2879,,Independent Sector,MANZ B3,Rockit,M.9,Spindle,3,1.4,2942,1.24,Conventional,B3,B,,
IND - Manzana,R2879,,Independent Sector,MANZ C1,Rockit,M.9,Spindle,3,1.4,4655,1.96,Conventional,C1,C,,
IND - Manzana,R2879,,Independent Sector,MANZ C2,Rockit,M.9/M.26,Spindle,3,1.4,7020,2.95,Conventional,C2,C,,
IND - Manzana,R2879,,Independent Sector,MANZ C3,Rockit,M.9,Spindle,3,1.4,6865,2.88,Conventional,C3,C,,
IND - Manzana,R2879,,Independent Sector,MANZ D1,Rockit,M.9,Spindle,3,1.4,4694,1.97,Conventional,D1,D,,
IND - Manzana,R2879,,Independent Sector,MANZ D2,Rockit,M.9,Spindle,3,1.4,6867,2.89,Conventional,D2,D,,
IND - Manzana 2,R2925,,Independent Sector,MANZ2 B,Rockit,M.9,Spindle,3,1.4,9419,3.878,Conventional,B,B,,
IND - Manzana 2,R2925,,Independent Sector,MANZ2 C,Rockit,M.9,Spindle,3,1.4,4449,1.761,Conventional,C,C,,
IND - Moteo Pa,R2636,,Independent Sector,MOT A1,Rockit,MM.106,Spindle,3.5,1.6,5232,2.99,Conventional,A1,A,,
IND - Moteo Pa,R2636,,Independent Sector,MOT A2,Rockit,MM.106,Spindle,3.5,1.6,1716,0.96,Conventional,A2,A,,
IND - Moteo Pa,R2636,,Independent Sector,MOT B1,Rockit,M.9,Spindle,3,1.4,2438,0.98,Conventional,B1,B,,
IND - Moteo Pa,R2636,,Independent Sector,MOT B2,Rockit,M.9,Spindle,3,1.4,2482,1.02,Conventional,B2,B,,
Napier Road Central,R1639,Milap Sondh,Hastings Sector,NRC A1,Rockit,MM.106,Twin Leader,4.5,2.5,1699,1.5,Conventional,A,A,,
Napier Road Central,R1639,Milap Sondh,Hastings Sector,NRC A2,Rockit,Marc,Spindle,3.5,1.5,0,0,Conventional,,,,
Napier Road Central,R1639,Milap Sondh,Hastings Sector,NRC A3,Rockit,MM.106,Twin Leader,4.5,2.4,0,0,Conventional,,,,
Napier Road Central,R1639,Milap Sondh,Hastings Sector,NRC B1,Rockit,M.9/M.116,Spindle,4.5,1.2,2081,1.52,Conventional,B,B,,
Napier Road Central,R1639,Milap Sondh,Hastings Sector,NRC B5,Rockit,M.9/M.116,Twin Leader,4.5,1.2,0,0,Conventional,,,,
Napier Road North,R2775,Milap Sondh,Hastings Sector,NRN A1,Rockit,M.9,Spindle,3,1.4,0,0,Conventional,,,,
Napier Road North,R2775,Milap Sondh,Hastings Sector,NRN A3,Rockit,M.9,Spindle,3,1.4,3172,1.34,Conventional,A,A,,
Napier Road North,R2775,Milap Sondh,Hastings Sector,NRN B1,Rockit,M.9,Spindle,3,1.4,3978,1.67076,Conventional,B,B,,
Napier Road South,R2712,Milap Sondh,Hastings Sector,NRS A1,Rockit,M.9,Spindle,3,1.4,320,0.1344,Conventional,A,A,,
Napier Road South,R2712,Milap Sondh,Hastings Sector,NRS A2,Rockit,M.9,Spindle,3,1.4,237,0.09954,Conventional,A,A,,
Napier Road South,R2712,Milap Sondh,Hastings Sector,NRS A3,Rockit,M.9,Spindle,3,1.4,3765,1.57,Conventional,A,A,,
Napier Road South,R2712,Milap Sondh,Hastings Sector,NRS B1,Rockit,M.9,Spindle,3,1.4,3978,1.67076,Conventional,B,B,,
IND - Okohua Orchard,R1611,,Independent Sector,OKO-C2,Rockit,M793,,4.3,3,0,0,Conventional,,,,
Omahu,R2724,Shane Crawford,Crownthorpe Sector,OMAHU A1,Rockit,M.9,Spindle,3,1.4,6730,2.83,Conventional,A,A,,
Omahu,R2724,Shane Crawford,Crownthorpe Sector,OMAHU A2,Rockit,M.9,Spindle,3,1.4,3786,1.61,Conventional,C,C,,
Omahu,R2724,Shane Crawford,Crownthorpe Sector,OMAHU A3,Rockit,M.9,Spindle,3,1.4,1975,0.82,Conventional,C,C,,
Omahu,R2724,Shane Crawford,Crownthorpe Sector,OMAHU B,Rockit,M.9,Spindle,3,1.4,2475,1.0395,Conventional,B,B,,
Omahu,R2724,Shane Crawford,Crownthorpe Sector,OMAHU B3,Rockit,M.9,Spindle,3,1.4,11097,4.66074,Conventional,F,F,,
Omahu,R2724,Shane Crawford,Crownthorpe Sector,OMAHU D,Rockit,M.9,Spindle,3,1.4,8830,3.7086,Conventional,D,D,,
Omahu,R2724,Shane Crawford,Crownthorpe Sector,OMAHU G,Rockit,M.9,Spindle,3,1.4,4491,1.88622,Conventional,G,G,,
Rangi 2,R2901,Shane Crawford,Crownthorpe Sector,RANGI2 A,Rockit,M.793,Spindle,4,2,1489,1.19,Conventional,A,A,,
Rangi 2,R2901,Shane Crawford,Crownthorpe Sector,RANGI2 B,Rockit,M.793,Spindle,4,2,1784,1.43,Conventional,B,B,,
Rangi 2,R2901,Shane Crawford,Crownthorpe Sector,RANGI2 C,Rockit,M.793,Spindle,4,2,1688,1.35,Conventional,C,C,,
IND - Riverbank Orchard,R1632,,Independent Sector,RBK VN,Rockit,M9,,3.5,1.5,1893,1.1,Conventional,N,A,,
